-9.350229571355788902e-03,9.519939914940195314e-01,-1.736171162320521285e-03,3.059689511632554537e-01,-7.173807124116873268e-01,1.085291428693665239e+00,-3.324066585205306956e-01
-8.960120757390199406e-03,9.541729396198918023e-01,-1.613943033007966647e-03,2.991172223744955616e-01,-7.171422051887816895e-01,1.085892671703902135e+00,-3.630722255165497181e-01
-8.908306619028550158e-03,9.559862907281342359e-01,-1.498323179474048009e-03,2.932722438975334800e-01,-7.161360924455404398e-01,1.086392971526580986e+00,-3.952660372302857494e-01
-8.618324319705205142e-03,9.572875176903870020e-01,-1.543291833037333362e-03,2.890051058552692842e-01,-7.137066539697676237e-01,1.087284099687414463e+00,-4.311627409001660971e-01
-8.384364270955945234e-03,9.597554139156164732e-01,-1.213184499718174356e-03,2.807094157288017588e-01,-7.086681191622496989e-01,1.088271101472543911e+00,-5.050225173691726965e-01
-7.239916703188973082e-03,9.708985403546074311e-01,-7.768724513410301541e-05,2.393817075469957534e-01,-6.051616244187691951e-01,1.090636872517861011e+00,-6.854080483771555210e-01
-6.961479600971364270e-03,9.813438509271028565e-01,4.725373903640169146e-04,1.921342258884239096e-01,-5.096826565813890042e-01,1.091663682004160751e+00,-7.436032565692438645e-01
-6.895193474124733379e-03,9.839248184347963999e-01,6.806261402891350572e-04,1.784487173477707356e-01,-4.857061978553967596e-01,1.091875670526203379e+00,-7.577857759835739948e-01
-6.994226335152551634e-03,9.864771181810300105e-01,7.814054457268973302e-04,1.637478717686191576e-01,-4.622970763122176141e-01,1.092381584671934469e+00,-7.713550067660357445e-01
-7.199056106252363363e-03,9.917043193011967350e-01,1.172651201179170143e-03,1.283329324830132512e-01,-4.237013258684149131e-01,1.092925220249942653e+00,-7.933400061015402072e-01
